Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Production occupations	Glass fiber extruding machine operator	gentian kaca extruding operator mesin	klaaskiust ekstrudeerimismasina operaator	lasikuitupuristusta koneenkäyttäjä	üvegszálas extrudáló gépkezelő	ապակե մանրաթելային extruding մեքենայի օպերատոր	গ্লাস ফাইবার extruding মেশিন অপারেটর	ग्लास फाइबर मेसिन अपरेटर	ガラス繊維押出機オペレーター	유리 섬유 압출 기계 운영자	cam elyaf ekstrüzyon makinesi operatörü	gilasi gilasi extruding ẹrọ onišẹ	beirazko zuntzezko estrukturako makina operadorea	kioo fiber extruding mashine operator	玻璃纤维挤出机操作员	
Production occupations	Glass fiber extruding machine setter	gentian kaca extruding machine setter	klaaskiust ekstrudeerimismasin setter	lasikuitulujärjestelmä	üvegszálas extrudáló gép szett	ապակե մանրաթել extruding մեքենա setter	গ্লাস ফাইবার extruding মেশিন সেটার	ग्लास फाइबर मिसिन सेटर बाहिर निकाल्दै	ガラス繊維押出機セッター	유리 섬유 압출 기계 setter	cam elyaf ekstrüzyon makinesi setter	gilasi okun extruding ẹrọ setter	beirazko zuntzezko estruktura makina setter	kioo fiber extruding mashine setter	玻璃纤维挤出机固定器	
Production occupations	Glass fiber extruding machine tender	gentian kaca extruding machine tender	klaaskiust ekstrudeerimise masin pakkumine	lasikuitupuhdistus kone tarjous	üvegszálas extrudáló gép ajánlat	ապակե մանրաթելային extruding մեքենա մրցույթի	গ্লাস ফাইবার extruding মেশিন টেন্ডার	ग्लास फाइबर मिसिन टेंडर निकाल्दै	ガラス繊維押し出し機入札	유리 섬유 압출 기계 부드러운	cam elyaf ekstrüzyon makinesi ihale	gilasi okun extruding ẹrọ tutu	beirazko zuntzezko estrukturazko makina lizitazioa	kioo fiber extruding mashine zabuni	玻璃纤维挤出机招标	
Production occupations	Grinding machine tool operator	pengisar alat mesin pengisar	lihvimismasin tööriistade operaator	hiomakoneiden käyttökoneisto	csiszoló szerszámgépkezelő	grinding մեքենայի գործիք օպերատոր	নিষ্পেষণ মেশিন টুল অপারেটর	पीसिंग मिसिन उपकरण अपरेटर	研削工作機械オペレータ	연삭 기계 공구 운전자	taşlama tezgahı operatörü	oniṣẹ ẹrọ ọpa ẹrọ	artezteko makina-erreminta operadorea	mashine ya kusaga chombo cha mashine	磨床机床操作员	
Production occupations	Grinding machine tool setter	pengisar alat mesin pengisar	lihvimisseadmed	hiomakoneistotyökalu	csiszológép szerszámbeállító	grinding մեքենա գործիք setter	নিষ্পেষণ মেশিন টুল সেটার	पीसिंग मिसिन उपकरण सेटर	研削盤ツールセッター	연삭 기계 공구 세터	taşlama tezgahı takım belirleyici	ọlọpa ẹrọ ọpa ẹrọ	artezteko makina-erremintan	kusaga chombo cha chombo cha mashine	磨床安装工	
Production occupations	Grinding machine tool tender	tender alat mesin pengisar	lihvimismasina tööpakkumine	hionta työstökone tarjous	csiszológép szerszám tender	grinding մեքենա գործիք մրցույթի	নিষ্পেষণ মেশিন টুল টেন্ডার	पीसिंग उपकरण उपकरण निविदा	研削盤ツール入札	연삭 기계 공구 부드러운	taşlama tezgahı ihale	lilọ kiri ẹrọ ọpa	artezteko makina-erreminta	chombo cha kusaga chombo cha mashine	研磨机床招标	
Production occupations	Grinding worker	pekerja pengisaran	lihvimistöötaja	hionta työntekijä	csiszolómunkás	հաստատակամ աշխատող	পিষ্টকারী কর্মী	पीस गर्ने कर्मचारी	粉砕作業員	연삭 작업자	taşlama işçisi	nṣiṣẹ osise	artezteko makina	mfanyakazi wa kusaga	研磨工人	
Production occupations	Heat treating equipment operator	pengendali peralatan perlakuan haba	termotöötlusseadmete operaator	lämpökäsittelylaitteiden haltija	hőkezelő berendezés üzemeltetője	ջերմային բուժման սարքավորումներ օպերատոր	তাপ চিকিত্সা সরঞ্জাম অপারেটর	गर्मी उपचार उपकरण परिचालक	熱処理装置オペレータ	열처리 장비 운전자	ısıl işlem ekipmanı operatörü	oṣiṣẹ itọju onibara itọju	ekipamendu operadorea tratatzeko beroa	vifaa vya kutibu joto	热处理设备操作员	
Production occupations	Heat treating equipment setter	haba merawat peralatan setter	kuumtöötlusseadmete setter	lämpökäsittelylaitteiden asetin	hőkezelő berendezés beállítása	ջերմային բուժիչ սարքերի սլաքը	তাপ চিকিত্সা সরঞ্জাম সেটার	गर्मीको उपचार	熱処理装置セッター	열처리 장비 세터	ısıl işlem ekipmanı ayarlayıcısı	gbigbona itanna ohun elo	beroa tratatzeko ekipamendua	seti ya vifaa vya kutibu joto	热处理设备安装工	
Production occupations	Heat treating equipment tender	tender merawat tender peralatan	kuumtöötlusseadmete pakkumine	lämpökäsittelylaitteiden tarjous	hőkezelő berendezés tender	ջերմային բուժիչ սարքավորումների մրցույթ	তাপ চিকিত্সা সরঞ্জাম দরপত্র	हिसाब उपचार उपकरण निविदा	熱処理装置入札	열처리 장비 입찰	ısıl işlem ekipmanı ihalesi	awọn ohun elo itọju gbigbona tutu	beroa tratatzeko ekipamendu samurra	vifaa vya kutibu joto	热处理设备招标	
Production occupations	Inspector	pemeriksa	inspektor	tarkastaja	ellenőr	տեսուչ	পরিদর্শক	निरीक्षक	インスペクタ	검사관	müfettiş	oluyẹwo	inspector	mkaguzi	检查员	
Production occupations	Jeweler	tukang emas	juveliir	jalokivikauppias	ékszerész	ոսկերիչ	জহুরি	jeweler	ジュエラー	보석 세공인	kuyumcu	jeweler	bitxigile	jeweller	珠宝商	
Production occupations	Kettle operator	pengendali cerek	veekeetja operaator	vedenkeitinoperaattori	vízforraló üzemeltető	թեյնիկ օպերատոր	কেটলি অপারেটর	केतली अपरेटर	ケトルオペレーター	주전자	su ısıtıcısı operatörü	oniṣẹ ẹrọ kettle	kettle operadorea	kettle operator	水壶操作员	
Production occupations	Kettle tender	tender cerek	veekeetja pakkumine	vedenkeitin tarjous	vízforraló ajánlat	թեյի գինը	কেটল টেন্ডার	केतली टेंडर	ケトル入札者	주전자 부드러운	su ısıtıcısı ihale	kettle tutu	kettle tender	kettle zabuni	水壶招标	
Production occupations	Kiln operator	operator tanur	ahju käitaja	uunin operaattori	kemence üzemeltetője	կավե օպերատոր	ভাঁজ অপারেটর	भट्टर अपरेटर	キルンオペレーター	킬른 조작원	fırın operatörü	oniṣẹ kiln	labea operadorea	mtumiaji wa mafuta	窑操作员	
Production occupations	Kiln tender	tender kiln	ahju pakkumine	uunin tarjous	kemence ajánlatot	կաղնու մրցում	ভাঙ্গা টেন্ডার	भट्ठी निविदा	キルン入札	가마 부드러운	fırın ihalesi	kiln tutu	labean lizitazioa	zabuni ya mafuta	窑招标	
Production occupations	Lapping machine tool operator	mengetuk pengendali alat mesin	sepistamine masin tööriista operaator	työstökoneiden ohjain	szerszámgép kezelő	lapping մեքենա գործիք օպերատոր	ল্যাপিং মেশিন টুল অপারেটর	लिपि मिसिन औजार अपरेटर	ラッピング工作機械オペレータ	랩핑 기계 공구 운전자	alıştırma makinesi aracı operatörü	oluṣakoso ẹrọ ọpa ẹrọ	makina-erremintaren operadorea lapurtzea	mashine ya kuacha mashine ya chombo	研磨机床操作员	
Production occupations	Lapping machine tool setter	mengetuk set alat alat mesin	sepistamine masina tööriista setter	työstökoneiden asettelu	szerszámgép szerszámbefogó	lapping մեքենա գործիք setter	lapping মেশিন টুল সেটার	लिपि मेशिन उपकरण सेटर	ラッピングマシンツールセッター	랩핑 기계 공구 세터	alıştırma makinesi aracı belirleyici	fifọ ẹrọ ọpa ọpa	makina-erremintaren ebakitzailea	kusambaza chombo cha chombo cha mashine	研磨机床安装工	
Production occupations	Lapping machine tool tender	memetik alat mesin tender	sepistamine tööriist pakkumine	työstökoneiden huutokauppa	gépi szerszám tender	lapping մեքենա գործիք մրցույթի	?	?	ラッピングマシンツール入札	랩핑 머신 툴 텐더	alıştırma makinesi aracı ihale	fifọ ẹrọ ọpa tutu	makina-erremintaren leuntasuna	kusambaza chombo chombo cha mashine	研磨机床招标	
Production occupations	Lathe tool operator	operator alat bubut	treipingi tööriistade operaator	sorvitekniikan käyttäjä	eszterga szerszámkezelő	խառատահաստոց գործիքի օպերատոր	লেদ মেশিন টুল অপারেটর	खराबी उपकरण अपरेटर	旋盤ツールオペレータ	?	torna takımı operatörü	oniṣẹ ẹrọ ọpa	tornu tresnaren operadorea	chombo cha chombo cha chombo	车床工具操作员	
Production occupations	Lathe tool setter	setter alat alat bubut	treipingi tööriista setter	sorvaustyökalun asetin	eszterga szerszámbeállító	խառատահաստոց գործիքը	লেদ মেশিন টুল সেটার	खराबी उपकरण सेटर	旋盤工具セッター	선반 공구 세터	torna takımı ayarlayıcısı	ọpa ọpa ọpa	tornu tresna setter	setter tool setter	车床工具二传手	
Production occupations	Lathe tool tender	tender alat bubut	treipingi tööriista pakkumine	sorvi työkalu tarjous	?	խառատահաստոց գործիքի մրցույթ	লেদ মেশিন টুল টেন্ডার	खराबी उपकरण निविदा	旋盤ツール入札	선반 도구 텐더	torna tezgahı ihalesi	lathe ọpa tutu	torne tresna tender	?	车床工具招标	
Production occupations	Laundry worker	pekerja dobi	pesumaja töötaja	pyykinpesukone	?	լվացքատուն	লন্ড্রি কর্মী	लुगा धुने कामदार	洗濯労働者	세탁 노동자	çamaşır işçisi	onisọṣọṣọ	garbitegia langilea	mfanyakazi wa kufulia	洗衣工人	
Production occupations	Layout worker	?	?	layout työntekijä	elrendezési munkás	ձեւավորող աշխատող	?	लेआउट कार्यकर्ता	レイアウトワーカー	레이아웃 작업자	düzen işçisi	alaṣiṣẹ ifilelẹ	diseinu-langilea	mfanyakazi wa mpangilio	布局工人	
Production occupations	Leather repairer	pembaikan kulit	naha remont	nahka korjaukset	bőr javítások	?	?	छाला मरम्मत	革修理	가죽 수리	deri onarımı	awọ tunše	larruzko konponketak	matengenezo ya ngozi	?	
Production occupations	Leather worker	pekerja kulit	nahktöör	nahkatyöntekijä	bőrmunkás	կաշվե աշխատող	চামড়া কর্মী	छाला कार्यकर्ता	?	가죽 노동자	deri işçisi	alawọ osise	larruzko langilea	mfanyakazi wa ngozi	皮革工人	
Production occupations	Machine assembler	pemasang mesin	masina assembler	?	?	մեքենայի հավաքիչ	মেশিন সংযোজক	मिसिन संयोजक	?	?	makine montajcısı	olupese ẹrọ	makina muntatzaile	mashine assembler	机器组装商	
Production occupations	Machinist	machinist	?	koneenkäyttäjä	gépész	?	যন্ত্রচালক	machinist	?	기계공	makinist	?	machinist	mkulima	机械师	
Production occupations	Meat processing worker	pekerja pemprosesan daging	lihatöötleja	lihanjalostustyöntekijä	?	մսի վերամշակող աշխատող	?	मासु प्रसोधन कार्यकर्ता	?	?	et işleme işçisi	onisẹ ọja ti n ṣiṣẹ	haragia prozesatzeko langilea	mfanyakazi wa usindikaji nyama	肉类加工工人	
Production occupations	Medical laboratory technician	?	meditsiiniline laboritehnik	lääketieteellinen laboratorioteknikko	orvosi laboratóriumi technikus	?	?	?	?	의료 실험실 기술자	tıbbi laboratuvar teknisyeni	?	mediku laborategiko teknikaria	teknolojia ya maabara ya matibabu	?	
Production occupations	Metal extruding machine operator	pengendali mesin extruding logam	?	metallipuristuskoneen käyttäjä	fém extrudáló gépkezelő	մետաղական արտահոսող մեքենայի օպերատոր	?	?	金属押出機オペレータ	금속 압출 기계 오퍼레이터	metal ekstrüzyon makine operatörü	irinṣẹ ẹrọ onirohin irin	metalezko estrukturako makina operadorea	operator extruding mashine operator	金属挤压机操作员	
Production occupations	Metal extruding machine setter	penyetrik mesin extruding logam	metallist väljapressimismasin setter	?	fém extrudáló gép szett	մետաղական extruding մեքենա setter	ধাতু extruding মেশিন সেটার	धातु extruding मिसिन सेटर	金属押出機セッター	금속 압출 기계 setter	metal ekstrüzyon makinesi ayarlayıcısı	irin-ẹrọ ẹrọ ti o nwaye	metalezko estruktura makina setter	metali ya extruding machine setter	?	
Production occupations	Metal extruding machine tender	tender mesin extruding logam	metallist ekstrudeerimise masin pakkumine	metalli ekstruder kone tarjous	?	մետաղական extruding մեքենա մրցույթի	ধাতু extruding মেশিন টেন্ডার	?	金属押し出し機入札	?	metal ekstrüzyon makinesi ihale	?	metalezko estruktura makina samurra	chuma extruding mashine zabuni	?	
Production occupations	Metal furnace caster	?	metallist ahju raaster	metallia uunipelti	fém kemence görgő	մետաղական վառարան վառարան	ধাতু চুল্লি ঢালাই	धातु भट्ठी कस्टर	金属炉キャスター	?	?	irin simẹnti ileru	metalezko labeak	tanuru ya tanuru ya chuma	金属炉脚轮	
Production occupations	Metal furnace operator	pengendali relau logam	metallist ahju operaator	metallin uunin operaattori	fém kemence üzemeltetője	մետաղական վառարանների օպերատոր	ধাতু চুল্লি অপারেটর	धातु भट्ठी अपरेटर	金属炉オペレータ	금속 용광로 연산자	metal fırın operatörü	?	metal labea operadorea	?	?	
Production occupations	Metal furnace pourer	pembakaran relau logam	metallist ahju püüdja	metallin uunin kaato	fém kemence öntő	մետաղական վառարան pourer	ধাতু চুল্লি pourer	धातु भट्ठी डिलर	金属炉パウラー	금속 용광로 흙 받이	?	?	metalezko labe pourer	chuma cha tanuru cha tanuru	?	
Production occupations	Metal furnace tender	?	?	metallin uunin tarjous	fém kemence pályázat	մետաղական վառարանների մրցույթ	ধাতু চুল্লি টেন্ডার	धातु भट्ठी निविदा	金属炉入札	금속 용광로 텐더	metal fırın ihalesi	irin ileru tutu	metalezko labe lizitazioa	zabuni ya tanuru ya chuma	金属炉招标	
Production occupations	Metal model maker	pembuat model logam	metallmudelite tegija	?	fémmodellező	մետաղական մոդել արտադրող	ধাতু মডেল প্রস্তুতকারক	धातु मोडेल निर्माता	メタルモデルメーカー	금속 모형 제작자	?	oniṣẹ awoṣe onibara	?	mtengenezaji wa chuma	?	
Production occupations	Metal molder	pembentuk logam	metallist molder	metallimuotin	?	մետաղական մետաղական	ধাতু ছাঁচনির্মাণ	मेटल फोल्डर	金属成形機	금속 성형기	metal kalıp	irin molder	metal moldatzailea	chuma cha chuma	金属模具	
Production occupations	Metal patternmaker	pembuat pola logam	metallist mustrihitaja	metallikuvio	fém mintázó	մետաղական մոնտաժող	ধাতু প্যাটার্নমাইকার	धातु ढाँचामेकर	金属パターンマーカ	금속 patternmaker	metal model yapımcısı	ohun elo apẹrẹ	metalezko eredatzaile	muundo wa chuma	金属模型制作者	
Production occupations	Metal pickling equipment operator	pengendali peralatan penjerukan logam	metalliärastusseadmete operaator	metallinen peittauslaitteiston käyttäjä	fém pácoló berendezések üzemeltetője	մետաղական բորբոքման սարքավորումներ օպերատոր	?	धातु उठाउने उपकरण अपरेटर	金属酸洗装置オペレーター	금속 산 세척 장비 운전자	metal dekapaj ekipmanı operatörü	oniṣẹ ẹrọ ayọkẹlẹ irin	?	chuma pickling vifaa operator	金属酸洗设备操作员	
Production occupations	Metal pickling equipment tender	tender peralatan pengambilan logam	metalliärastusseadmete pakkumine	metallin peittauslaitteiston tarjous	?	մետաղական բեռնարկղային սարքավորումների մրցույթ	?	धातु छनौट उपकरण निविदा	金属酸洗い装置入札	금속 침산 장비 입찰	metal dekapaj ekipmanı ihalesi	irin-ẹrọ irin-irin irin-ẹrọ tutu	desugerketa metalikoen ekipamendua	vifaa vya pickling chuma	金属酸洗设备招标	
Production occupations	Metal worker	pekerja logam	metallitööline	metallityöläinen	fémmunkás	մետաղական աշխատող	?	?	金属労働者	금속 노동자	metal işçisi	?	metalezko langilea	mfanyakazi wa chuma	?	
Production occupations	Metal worker	pekerja logam	metallitööline	metallityöläinen	fémmunkás	մետաղական աշխատող	ধাতু কর্মী	धातु कामदार	金属労働者	금속 노동자	metal işçisi	oniṣẹ irin	metalezko langilea	mfanyakazi wa chuma	金属工人	
Production occupations	Milling machine operator	operator mesin penggilingan	freesmasina operaator	?	marógépkezelő	ֆրեզերային մեքենաների օպերատոր	নিষ্পেষণ মেশিন অপারেটর	मिलिंग मिसिन अपरेटर	?	밀링 머신 오퍼레이터	freze makinesi operatörü	?	fresatzeko makina operadorea	mashine ya kusambaza	铣床操作员	
Production occupations	Milling machine setter	pengisar mesin pengilangan	freesmasina setter	jyrsinkoneiden asetin	marógép-szetter	ֆրեզերային հաստոցների հավաքածու	নিষ্পেষণ মেশিন সেটার	मिलिंग मिसिन सेटर	フライス盤セッター	밀링 머신 세터	freze makinesi ayarlayıcısı	oniṣẹ ẹrọ ẹrọ milling	fresatzeko makina setter	mashine ya kusaga	铣床二传手	
Production occupations	Milling machine tender	tender mesin penggilingan	freespink pakkumine	jyrsinkone tarjous	marógép ajánlatot	ֆրեզերային մեքենաների մրցույթ	?	मिलिंग मिसिन टेंडर	フライス盤入札	밀링 머신 부드러운	freze makinesi ihale	milling ẹrọ tutu	fresatzeko makinak	mashine ya kusambaza	铣床招标	
Production occupations	Mixing worker	pencampuran pekerja	segamise töötaja	sekoitus työntekijä	keverő munkás	խառնիչ աշխատող	মিলিত শ্রমিক	मिश्रण कामदार	ミキシングワーカー	혼합 노동자	işçi karıştırma	awopọ osise	langilea nahastuz	mfanyakazi aliyechanganya	混合工人	
Production occupations	Molder	cetakan	molder	maatua	?	մոլեկուլ	ছাঁচকার	?	成形機	썩다	kalıpçı	mimu	molder	kioo	?	
Production occupations	Molding machine operator	mencetak pengendali mesin	vormimismasina operaator	muovauskoneoperaattori	formázó gépkezelő	կաղապարիչ մեքենայի օպերատոր	ছাঁচনির্মাণ মেশিন অপারেটর	?	成形機オペレータ	?	kalıplama makinesi operatörü	mii ẹrọ oniṣẹ ẹrọ	moldura makina operadorea	mashine ya ukingo mashine	?	
Production occupations	Molding machine setter	pencetak mesin mencetak	vormimisseadme setter	muovaus koneen asetin	formázógép szett	համաձուլվածքներ մեքենայի կարգավորող	ছাঁচনির্মাণ মেশিন সেটার	मोल्डिंग मिसिन सेटर	成形機セッター	?	kalıplama makinesi ayarlayıcı	mimu olutẹ ẹrọ	moldura makina setter	kusonga mashine setter	成型机二传手	
Production occupations	Molding machine tender	mencetak mesin lembut	vormimismasin pakkumine	muovaus kone tarjous	öntőgép pályázat	բորբոս մեքենաների մրցույթ	ছাঁচনির্মাণ মেশিন দরপত্র	मोल्डिंग मिसिन निविदा	成形機入札	성형기 부드러운	kalıplama makinesi ihale	mimu ẹrọ tutu	moldura makina lizitazioa	mashine ya ukingo zabuni	成型机招标	
Production occupations	Multiple machine tool operator	pengendali alat mesin berganda	mitu tööpinkide operaatorit	?	többszemélyes gépkezelő	բազմակի հաստոցների օպերատոր	একাধিক মেশিন টুল অপারেটর	बहु मेशिन उपकरण अपरेटर	?	다중 공작 기계 오퍼레이터	çoklu makine takımı operatörü	oniṣẹ ẹrọ ọpa ọpọlọ	makina-erremintako operadorea	mashine nyingi ya chombo cha mashine	多机床操作员	
Production occupations	Multiple machine tool setter	alat penyetel mesin pelbagai	mitu tööpinkide setterit	useita työstökoneiden asetinlaitteita	több szerszámgép szett	?	একাধিক মেশিন টুল সেটার	बहु मेशिन उपकरण सेटर	複数の工作機械セッター	다중 공작 기계 세터	çoklu makine takım ayarlayıcısı	olusẹ ẹrọ ọpa ẹrọ	makina-erremintako setter anitz	?	多台机床安装工	
Production occupations	Multiple machine tool tender	tender alat mesin berganda	mitu tööpinki pakkumist	useita työstökoneiden tarjousta	több szerszámgépes tender	մի քանի մեքենա գործիք մրցույթի	একাধিক মেশিন টুল টেন্ডার	बहु मेशिन उपकरण निविदा	複数の工作機械入札	?	çoklu makine takımı ihalesi	ọpọ ẹrọ ọpa tutu	makina-erremintaren hainbat eskaintza	chombo cha aina nyingi cha chombo cha mashine	?	
Production occupations	Ophthalmic laboratory technician	juruteknik makmal oftalmik	?	silmälääketieteellinen teknikko	szemészeti laboratóriumi technikus	ակնաբուժական լաբորատոր տեխնիկ	অপথ্যালিক ল্যাবরেটরি প্রযুক্তিবিদ	नत्र प्रयोगशाला टेक्नीशियन	眼科検査技師	안과 실험실 기술자	oftalmik laboratuvar teknisyeni	oludari ẹrọ imọran ti ophthalmic	?	mtaalam wa maabara ya ophthalmic	眼科实验室技术员	
Production occupations	Oven operator	operator ketuhar	ahju operaator	uuniin	sütő üzemeltető	վառարանի օպերատոր	ওভেন অপারেটর	ओवन अपरेटर	オーブンオペレーター	오븐 운영자	fırın operatörü	oniṣẹ onibara	labearen operadorea	operator wa tanuri	?	
Production occupations	Oven tender	tender ketuhar	ahju pakkumine	uuni tarjous	sütő tender	ջեռոցում	ওভেন টেন্ডার	ओवन निविदा	オーブンテンダー	오븐 부드러운	fırın ihalesi	tutu tutu	labean lizitazioa	zabuni ya tanuri	烤箱招标	
Production occupations	Packaging machine operator	pengendali mesin pembungkusan	pakendamismasina operaator	pakkauskoneoperaattori	csomagoló gépkezelő	փաթեթավորման մեքենայի օպերատոր	প্যাকেজিং মেশিন অপারেটর	?	包装機械オペレータ	포장 기계 운전자	paketleme makinesi operatörü	olupese iṣẹ ẹrọ apakọ	ontzi-makina operadorea	operator wa ufungaji	包装机操作员	
Production occupations	Packaging machine tender	tender mesin pembungkusan	pakkemasin pakkumine	pakkauskone tarjous	csomagológép pályázat	փաթեթավորման մեքենաների մրցույթ	প্যাকেজিং মেশিন টেন্ডার	प्याकेजिङ्ग मेशिन निविदा	包装機入札	?	paketleme makinesi ihalesi	?	ontzi makina lizitazioa	zabuni za mashine ya ufungaji	包装机招标	
Production occupations	Painting worker	pekerja lukisan	maalikunstnik	maalaustyöntekijä	festő munkás	նկարիչ աշխատող	পেইন্টিং কর্মী	चित्रकारी कामदार	塗装労働者	도색 작업자	boya işçisi	kikun osere	margolaria	mfanyakazi wa uchoraji	绘画工作者	
Production occupations	Paper goods machine operator	?	paberkaupade masina operaator	paperituotteiden koneoperaattori	papíráruk gépkezelője	թուղթ ապրանքներ մեքենայի օպերատոր	কাগজ পণ্য মেশিন অপারেটর	?	紙製品機械オペレータ	?	kağıt ürünleri makine operatörü	iwe ẹrọ oniṣẹ ẹrọ	paper ondasunen makina operadorea	karatasi ya bidhaa mashine operator	纸制品机器操作员	
Production occupations	Paper goods machine setter	barang pembuat mesin kertas	paberkaupade masina setter	?	papíráru gép szett	թուղթ ապրանքներ մեքենայի սեթեր	কাগজ পণ্য মেশিন সেটার	कागज सामान मिसिन सेटर	?	종이 제품 기계 setter	kağıt ürünleri makine seti	iwe ti oniṣẹ ẹrọ ẹrọ	?	karatasi ya bidhaa ya seti ya mashine	纸制品机器二传手	
Production occupations	Paper goods machine tender	tender mesin barang kertas	paberkaupade masin pakkumine	paperituotteiden koneen tarjous	papíráruk gépi pályázat	թուղթ ապրանքներ մեքենայի մրցույթի	?	कागज सामान मेशिन निविदा	紙製品機械入札	종이 제품 기계 부드러운	?	iwe ẹrọ ẹrọ tutu	paper ondasunen makina lizitazioa	karatasi bidhaa mashine zabuni	纸制品机器招标	
Production occupations	Photographic process worker	pekerja proses fotografi	fotoprotsessi töötaja	valokuvausprosessin työntekijä	fotográfiai feldolgozó munkás	լուսանկարչական պրոցեսի աշխատող	?	फोटोग्राफिक प्रक्रिया कार्यकर्ता	写真プロセス作業員	?	fotoğrafik işlem işçisi	oniṣẹ alaworan aworan	prozesu fotografico langilea	mfanyakazi wa mchakato wa picha	摄影过程工作者	
Production occupations	Photographic processing machine operator	pengendali mesin pemprosesan fotografi	fototöötlusmasina operaator	valokuvaus-koneenkäyttäjä	fényképfeldolgozó gépkezelő	լուսանկարչական մշակման մեքենաների օպերատոր	ফোটোগ্রাফিক প্রক্রিয়াজাতকরণ মেশিন অপারেটর	फोटोग्राफिक प्रसोधन मेशिन परिचालक	写真処理機械オペレータ	사진 처리 기계 오퍼레이터	fotoğraf işleme makinesi operatörü	?	argazkigintza prozesatzeko makina operadorea	picha ya usindikaji wa mashine ya picha	照相处理机操作员	
Production occupations	Planing machine operator	?	höövelmasinate operaator	höyläkoneoperaattori	gyalulás gépkezelő	պլանավորող մեքենայի օպերատոր	পরিকল্পনা মেশিন অপারেটর	?	プランニング機械オペレータ	기획 운전자	planya makinesi operatörü	oniṣẹ ẹrọ iṣowo	?	mashine ya upangaji	刨工	
Production occupations	Planing machine setter	mesin pengetam planing	höövelmasin setter	höyläkoneiden asetin	gyalugép gép szett	planing machine setter	মেশিন সেটার পরিকল্পনা	प्लानिंग मिसिन सेटर	?	기획 기계 세팅 기	planya makinesi ayarlayıcısı	setter setter ẹrọ	?	mashine ya kusafisha mashine	刨机二传手	
Production occupations	Planing machine tender	tender mesin pelan	höövelmasin pakkumine	höylä kone tarjous	gyalugépes pályázat	պլաստմասսա մեքենաների մրցույթ	মেশিন টেন্ডার planing	प्लानिंग मिसिन निविदा	プランニング機入札	기획 기계 부드러운	planya makinası ihale	ẹrọ iyọdafẹ ẹrọ	makina makina lizitazioa	mashine ya kununulia	刨机招标	
Production occupations	Plant operator	pengendali loji	tehase operaator	laitosoperaattori	?	բույսերի օպերատոր	উদ্ভিদ অপারেটর	संयंत्र परिचालक	プラントオペレータ	공장 운영자	tesis operatörü	oniṣẹ ẹrọ ọgbin	landare operadorea	mmea wa mmea	工厂运营商	
Production occupations	Plastic extruding machine operator	pengendali mesin extruding plastik	plastist ekstrudeerimismasina operaator	muovista ekstruusioprosessori	műanyag extrudáló gépkezelő	պլաստիկ extruding մեքենայի օպերատորը	প্লাস্টিকের extruding মেশিন অপারেটর	प्लास्टिक extruding मिसिन अपरेटर	プラスチック押出機オペレータ	플라스틱 압출 기계 오퍼레이터	plastik ekstrüzyon makine operatörü	oniṣẹ ẹrọ iṣan ti o fi ara ẹrọ ṣiṣu	plastikozko estrukturako makina operadorea	plastiki extruding operator operator	塑料挤出机操作员	
Production occupations	Plastic extruding machine setter	penyetrik mesin extruding plastik	plastist ekstrudeerimisseadme setter	muovista ekstruusio koneen asetin	műanyag extrudáló gép szett	պլաստիկ extruding մեքենա setter	প্লাস্টিকের extruding মেশিন সেটার	प्लास्टिक extruding मिसिन सेटर	プラスチック押出機セッター	플라스틱 압출 기계 setter	plastik ekstrüzyon makinesi setter	oniṣan ẹrọ ẹrọ ti o fi ara ẹrọ ti o wa ni erupẹ	plastikozko estruktura makina setter	plastiki extruding machine setter	塑料挤出机二传手	
Production occupations	Plastic extruding machine tender	tender mesin extruding plastik	plastist ekstrudeerimise masin pakkumine	?	műanyag extrudáló gép ajánlat	պլաստիկ extruding մեքենայի մրցույթի	প্লাস্টিকের extruding মেশিন টেন্ডার	?	プラスチック押出機入札	플라스틱 압출 기계 부드러운	plastik ekstrüzyon makinesi ihale	?	plastikozko extruding machine tender	?	塑料挤出机招标	
Production occupations	Plastic model maker	pembuat model plastik	plastist mudel tegija	muovimallin valmistaja	műanyag modellkészítő	պլաստիկ մոդել արտադրող	প্লাস্টিক মডেল সৃষ্টিকর্তা	प्लास्टिक मोडेल निर्माता	プラスチックモデルメーカー	플라스틱 모형 제작자	plastik model yapımcısı	apẹẹrẹ awoṣe ti alawọ	plastikozko ereduen sortzailea	mtengenezaji wa mtindo wa plastiki	?	
Production occupations	Plastic Molder	pembentuk plastik	plastist molder	?	műanyag fröccsöntő	պլաստիկ մուլտի	প্লাস্টিক ছাঁচনির্মাণ	प्लास्टिकको फोल्डर	プラスチック成形機	?	plastik kalıp	ṣiṣu molder	plastikozko molder	plastiki molder	塑料模具	
Production occupations	Plastic patternmaker	pembuat pola plastik	?	muovikuviot	műanyag mintázó	պլաստիկ արտադրող	প্লাস্টিকের প্যাটার্নমাইকার	प्लास्टिक ढाँचा निर्माता	プラスチック製のパターンマーカ	플라스틱 패턴 메이커	plastik kalıp yapımcısı	apẹẹrẹ okun awọ	plastikozko eredatzaile	plastiki patternmaker	塑料模具制造商	
